Caso,Tipo,Score regras,Score ML,Score final,Confiança,Vulns
pub_ingress_ssh,vulnerável,50,47.9,49,LOW,2
pub_ingress_rdp,vulnerável,50,47.9,49,LOW,2
pub_ingress_ipv6,vulnerável,50,47.9,49,LOW,2
wide_port_range,vulnerável,50,47.9,49,LOW,2
unrestricted_egress,vulnerável,25,45.2,33,LOW,2
unencrypted_rds,vulnerável,40,53.1,45,LOW,2
unencrypted_ebs,vulnerável,40,53.1,45,LOW,2
public_rds,vulnerável,50,45.4,48,LOW,2
imdsv1,vulnerável,40,41.3,40,MEDIUM,2
iam_wildcard,vulnerável,80,43.0,65,MEDIUM,3
public_s3,vulnerável,40,41.3,40,MEDIUM,2
missing_flow_logs,vulnerável,30,41.3,34,MEDIUM,2
public_instance,vulnerável,25,45.4,33,LOW,2
hardcoded_secret,vulnerável,50,56.7,52,LOW,2
secure_full_stack,seguro,0,62.4,24,MEDIUM,0
private_ingress,seguro,20,45.2,30,LOW,1
encrypted_storage,seguro,20,41.3,28,MEDIUM,1
s3_fully_blocked,seguro,20,41.3,28,MEDIUM,1
imdsv2_enforced,seguro,20,41.3,28,MEDIUM,1
parametrized_secret,seguro,20,41.3,28,MEDIUM,1
combo_web_app,vulnerável,100,67.2,86,MEDIUM,8
combo_data_platform,vulnerável,80,54.5,69,LOW,5
